SSID,Signal,Latitude,Longitude
eduroam,39,40.634376667,-8.659341667
eduroam,39,40.634381667,-8.659433333
eduroam,39,40.634383333,-8.659373333
eduroam,39,40.634386667,-8.659421667
eduroam,39,40.63439,-8.659308333
eduroam,34,40.634423333,-8.659328333
eduroam,39,40.63444,-8.659338333
eduroam,39,40.634473333,-8.65935
eduroam,39,40.634483333,-8.659341667
eduroam,39,40.634506667,-8.65926
eduroam,35,40.63452,-8.659248333
eduroam,35,40.634528333,-8.659225
